ligne;départ;arrivée
9;240;241
9;241;240
9;241;242
9;242;241
9;242;243
9;243;242
9;243;244
9;244;243
9;244;245
9;245;244
9;245;246
9;246;245
9;246;247
9;247;246
9;247;248
9;248;247
9;248;249
9;249;248
9;249;250
9;250;249
9;250;251
9;251;250
9;251;252
9;252;251
9;252;253
9;253;252
9;253;254
9;254;253
9;254;255
9;255;254
9;255;256
9;256;255
9;256;257
9;257;256
9;257;258
9;258;257
9;258;259
9;259;258
9;259;260
9;260;259
9;260;261
9;261;260
9;261;262
9;262;261
9;262;263
9;263;262
9;263;264
9;264;263
9;264;265
9;265;264
9;265;266
9;266;265
9;266;267
9;267;266
9;267;268
9;268;267
9;268;269
9;269;268
9;269;270
9;270;269
9;270;271
9;271;270
9;271;272
9;272;271
9;272;273
9;273;272
9;273;274
9;274;273
9;274;275
9;275;274